board_name,board_id,name,position,city,term_end,add_info
"Dentistry, State Board of",BoardID=27,"Scott Van Dam, President",Dentist,Rapid City,10/30/2026,
"Developmental Disabilities, SD Council on,",BoardID=28,Barb Abeln,"Director, S.D.Development Center",Redfield,,
"Developmental Disabilities, SD Council on,",BoardID=28,Katie Armstrong,Individual w/ Developmental Disability (DD),Brookings,6/30/2028,
"Developmental Disabilities, SD Council on,",BoardID=28,Melanie Boetel,DSS/Division of Behavioral Health,Sioux Falls,,
"Developmental Disabilities, SD Council on,",BoardID=28,Megan Dornon,Parent/ Guardian of a Child w/ Developmental Disability (DD),Watertown,6/30/2028,
"Developmental Disabilities, SD Council on,",BoardID=28,Kevin Dunn,"Director, DHS Division of Developmental Disabilities",Aberdeen,,
"Developmental Disabilities, SD Council on,",BoardID=28,Toni Feist,Individual w/ Developmental Disability (DD),St. Onge,6/30/2026,
"Developmental Disabilities, SD Council on,",BoardID=28,Jackson Greseth,Individual w/ Developmental Disability (DD),Sisseton,6/30/2028,
"Developmental Disabilities, SD Council on,",BoardID=28,Bernie Grimme,"Director, Division of Rehabilitation Services-Designee",Pierre,,
"Developmental Disabilities, SD Council on,",BoardID=28,Valerie Husby,Parent/ Guardian of a Child w/ Developmental Disability (DD),Brandon,6/30/2026,
"Developmental Disabilities, SD Council on,",BoardID=28,Kristy Jackson,CYSHN Director -Dept. of Health,Sioux Falls,,
"Developmental Disabilities, SD Council on,",BoardID=28,Rebecca Jensen,Parent / Guardian of Adult w/ Developmental Disability (DD),Wagner,6/30/2027,
"Developmental Disabilities, SD Council on,",BoardID=28,Caryn Johnson,Individual w/ Developmental Disability (DD),Aberdeen,6/30/2027,
"Developmental Disabilities, SD Council on,",BoardID=28,Tania Kostal,Parent/ Guardian of Adult w/ Developmental Disability (DD),Tyndall,6/30/2026,
"Developmental Disabilities, SD Council on,",BoardID=28,Heather Krzmarzick,Director of Long Term Services and Support,Pierre,,
"Developmental Disabilities, SD Council on,",BoardID=28,Eric Kurtz,"Director, USD Center for Disabilities",Sioux Falls,,
"Developmental Disabilities, SD Council on,",BoardID=28,Nicole Meyer,Parent of child w/Developmental Disability (DD),Mina,6/30/2027,
"Developmental Disabilities, SD Council on,",BoardID=28,Keath Rick,Parent / Guardian of Adult w/ Developmental Disability (DD),Big Stone City,6/30/2028,
"Developmental Disabilities, SD Council on,",BoardID=28,Amanda Roberson,Parent/Guardian of an Adult with IDD,Piedmont,6/30/2027,
"Developmental Disabilities, SD Council on,",BoardID=28,Makena Schultz,Person with I/DD,Sioux Falls,6/30/2028,
"Developmental Disabilities, SD Council on,",BoardID=28,Anna Svennungsen,Parent/ Guardian of a Child w/ Developmental Disability (DD),Tea,6/30/2028,
"Developmental Disabilities, SD Council on,",BoardID=28,Elizabeth Tiger,Parent/Guardian of a child with developmental disabilites (DD),Spearfish,6/30/2026,
"Developmental Disabilities, SD Council on,",BoardID=28,Wendy Trujillo,Director or Designee of Special Education Programs,Pierre,,
"Developmental Disabilities, SD Council on,",BoardID=28,Cole Uecker,"Director, Disability Rights South Dakota",Pierre,,
"Developmental Disabilities, SD Council on,",BoardID=28,Melanie Westin,Representative of Community Based Service Providers,Sioux Falls,6/30/2026,
"Developmental Disabilities, SD Council on,",BoardID=28,Nichole Winckler,Parent / Guardian of Adult w/ Developmental Disability (DD),Rapid City,6/30/2027,
Drug Court Advisory Council,BoardID=11774,Melanie Botel,Department of Social Services,,,
Drug Court Advisory Council,BoardID=11774,Michelle Boyd,Law Enforcement,,,
Drug Court Advisory Council,BoardID=11774,Dr. Melissa Dittberner,University of South Dakota,,,
Drug Court Advisory Council,BoardID=11774,Terry Dosch,Council of Mental Health Centers,,,
Drug Court Advisory Council,BoardID=11774,Katie Dunn,Prosecutor,,,
Drug Court Advisory Council,BoardID=11774,Dr. Shannon Emry,Midwest Street Medicine,,,
Drug Court Advisory Council,BoardID=11774,Honorable Francy Foral,Northern Hills Drug Court and Fourth Circuit DUI Court,,,
Drug Court Advisory Council,BoardID=11774,Belinda Grave,Treatment Director,,,
Drug Court Advisory Council,BoardID=11774,Honorable Robert Gusinsky,Seventh Judicial Circuit Presiding Judge,,,
Drug Court Advisory Council,BoardID=11774,Chief Justice Steven R. Jensen,Unified Judicial System,,,
Drug Court Advisory Council,BoardID=11774,Tamira McMeekin,Chief Court Services Officer,,,
Drug Court Advisory Council,BoardID=11774,Honorable Cullen McNeece,Brown County Drug and DUI Court,,,
Drug Court Advisory Council,BoardID=11774,Honorable Carmen Means,Codington County Drug Court,,,
Drug Court Advisory Council,BoardID=11774,Ryan Mockler,Deputy Chief Court Services Officer,,,
Drug Court Advisory Council,BoardID=11774,Rick Olauson,Northern Hills Drug Court and Fourth Circuit DUI Court Coordinator,,,
Drug Court Advisory Council,BoardID=11774,"Noreen Plumage, Ad Hoc",South Dakota Treatment Court Coordinator,,,
Drug Court Advisory Council,BoardID=11774,Honorable Pat Riepel,Second Circuit Drug Court,,,
Drug Court Advisory Council,BoardID=11774,Greg Sattizahn,State Court Administrator,,,
Drug Court Advisory Council,BoardID=11774,Anthony Teesdale,Defense Attorney,,,
Drug Court Advisory Council,BoardID=11774,Justice Lori Wilbur,Retired Supreme Court Justice,,,
"Economic Advisors, Council of",BoardID=118,Karlton Adam,,Pierre,6/30/2027,
"Economic Advisors, Council of",BoardID=118,Caleb Arceneaux,,Rapid City,6/30/2025,
"Economic Advisors, Council of",BoardID=118,Matthew Cronin,,Gettysburg,6/30/2027,
"Economic Advisors, Council of",BoardID=118,Curtis Everson,,Pierre,6/30/2027,
"Economic Advisors, Council of",BoardID=118,Carla Gatzke,,Brookings,6/30/2027,
"Economic Advisors, Council of",BoardID=118,John Hemmingstad,,Elk Point,6/30/2027,
"Economic Advisors, Council of",BoardID=118,Marnie Herrmann,,Rapid City,6/30/2027,
"Economic Advisors, Council of",BoardID=118,Dan Newell,,Sioux Falls,6/30/2027,
"Economic Advisors, Council of",BoardID=118,Kevin Nyberg,,Sioux Falls,6/30/2027,
"Economic Advisors, Council of",BoardID=118,Shawn Pritchett,,Sioux Falls,6/30/2027,
"Economic Advisors, Council of",BoardID=118,Douglas Sharp,,Watertown,6/30/2027,
"Economic Advisors, Council of",BoardID=118,Everhardus Van Der Sluis,,Brookings,6/30/2027,
Economic Development Finance Authority Board of Directors,BoardID=30,Sharon Casey,Member,Chamberlain,6/30/2029,
Economic Development Finance Authority Board of Directors,BoardID=30,Jeff Erickson,Chairman,Sioux Falls,6/30/2028,
Economic Development Finance Authority Board of Directors,BoardID=30,Tom Jones,Member,Sioux Falls,6/30/2029,
Economic Development Finance Authority Board of Directors,BoardID=30,Matt Judson,Secretary-Treasurer,Pierre,6/30/2028,
Economic Development Finance Authority Board of Directors,BoardID=30,Don Kettering,Vice-Chairman,Yankton,6/30/2025,
Economic Development Finance Authority Board of Directors,BoardID=30,Michael Luken,Member,Watertown,6/30/2026,
Economic Development Finance Authority Board of Directors,BoardID=30,Jim Schmidt,Member,Sioux Falls,6/30/2027,
"Economic Development, Board of",BoardID=31,Sharon Casey,Board Member,Chamberlain,4/19/2028,
"Economic Development, Board of",BoardID=31,Craig Christianson,Board Member,Rapid City,4/19/2027,
"Economic Development, Board of",BoardID=31,David Emery,Board Member,Rapid City,4/20/2029,
"Economic Development, Board of",BoardID=31,Jeffory Erickson,Chairman,Sioux Falls,4/20/2029,
"Economic Development, Board of",BoardID=31,Representative Spencer Gosch,Non-voting Legislative Representative,Glenham,12/31/2026,
"Economic Development, Board of",BoardID=31,Tom Jones,Board Member,Sioux Falls,4/19/2028,
"Economic Development, Board of",BoardID=31,Matt Judson,Treasurer,Pierre,4/14/2026,
"Economic Development, Board of",BoardID=31,Reed Kessler,Board Member,Aberdeen,4/19/2028,
"Economic Development, Board of",BoardID=31,Donald Kettering,Vice Chairman,Yankton,4/19/2027,
"Economic Development, Board of",BoardID=31,Senator Liz Larson,Non-voting Legislative Representative,Sioux Falls,12/31/2026,
"Economic Development, Board of",BoardID=31,Michael Luken,Board Member,Watertown,4/19/2029,
"Economic Development, Board of",BoardID=31,Brad Moore,Board Member,Dakota Dunes,4/19/2027,
"Economic Development, Board of",BoardID=31,Representative Erik Muckey,Non-voting Legislative Representative,Sioux Falls,12/31/2026,
"Economic Development, Board of",BoardID=31,Joy Nelson,Board Member,Watertown,4/14/2026,
"Economic Development, Board of",BoardID=31,Senator Tm S. Reed,Non-voting Legislative Representative,Brookings,12/31/2026,
"Economic Development, Board of",BoardID=31,James Schmidt,Board Member,Sioux Falls,4/14/2026,
"Economic Development, Board of",BoardID=31,Kevin Tetzlaff,Board Member,Brookings,4/19/2027,
"Education Standards, South Dakota Board of",BoardID=32,Phyllis Heineman,,Sioux Falls,12/31/2027,
"Education Standards, South Dakota Board of",BoardID=32,Rich Meyer,Vice President,Rapid City,12/31/2025,
"Education Standards, South Dakota Board of",BoardID=32,Jean Moulton,,Watertown,12/31/2028,
"Education Standards, South Dakota Board of",BoardID=32,Linda Olsen,,Dupree,12/31/2028,
"Education Standards, South Dakota Board of",BoardID=32,Steve Perkins,President,Sioux Falls,12/31/2026,
"Education Standards, South Dakota Board of",BoardID=32,Greg Von Wald,,Rapid City,12/31/2028,
"Education Standards, South Dakota Board of",BoardID=32,Dr. Tonia Warzecha,,Jefferson,12/31/2028,
Educational Enhancement Funding Corporation,BoardID=220,Julie Bartling,Member/Democratic Party,Gregory,1/18/2025,"Biography:
Julie Bartling, Appointed December 2020, resident of Gregory"
Educational Enhancement Funding Corporation,BoardID=220,James Breckenridge,Member/Republican Party,Sioux Falls,1/17/2026,"Biography:
James Breckenridge, appointed February 2014, resident of Sioux Falls"
Educational Enhancement Funding Corporation,BoardID=220,Tom Graham,Chairman/Republican Party,Sioux Falls,1/17/2028,"Biography:
Thomas W. Graham; appointed January 1988; resident of Sioux Falls"
Educational Enhancement Funding Corporation,BoardID=220,Douglas Hajek,Vice Chairman/Republican Party,Sioux Falls,1/18/2027,"Biography:
Douglas J. Hajek, appointed March 2011, resident of Sioux Falls"
Educational Enhancement Funding Corporation,BoardID=220,Ken Karels,Member/Republican Party,Sioux Falls,1/1/2030,"Biography:
Ken Karels, appointed October 2005, resident of Sioux Falls"
Educational Enhancement Funding Corporation,BoardID=220,Jim Lust,Member/Republican Party,Aberdeen,1/15/2027,"Biography:
Jim Lust, appointed January 2019, resident of Aberdeen"
Educational Enhancement Funding Corporation,BoardID=220,James Spies,Member/Republican Party,Watertown,1/1/2030,"Biography:
Jim Spies, appointed July 2002, resident of Watertown"
Educational Enhancement Funding Corporation,BoardID=220,Tina Van Camp,Member/Republican Party,Pierre,1/17/2028,"Biography:
Tina Van Camp, Secretary; appointed April, 2016; resident of Fort Pierre"
Educational Enhancement Funding Corporation,BoardID=220,Steve Zelmer,Member/Republican Party,Rapid City,1/17/2026,"Biography:
Steve Zellmer; Appointed January 2014; resident of Rapid City"
Educational Telecommunications,BoardID=214,Julie Ashworth,Board Member,Sioux Falls,6/30/2025,
Educational Telecommunications,BoardID=214,Doyle Estes,Board Member,Hill City,6/30/2025,
Educational Telecommunications,BoardID=214,Kay Jorgensen,Board Chair,Spearfish,6/30/2027,
Educational Telecommunications,BoardID=214,Dave Landry,Board Member,Sioux Falls,6/30/2026,
Educational Telecommunications,BoardID=214,Shuree Mortensen,"Board of Regents, Communications Director",Ft. Pierre,,
Educational Telecommunications,BoardID=214,Jerry Oster,Board Member,Yankton,6/30/2026,
Educational Telecommunications,BoardID=214,Julie Overgaard,SDPB Executive Director,Sioux Falls,,
Educational Telecommunications,BoardID=214,Erika Tordsen,Board Member,Sioux Falls,6/30/2027,
Educational Telecommunications,BoardID=214,Mark Wixon,BIT Commissioner,Rapid City,,
Elections Board (Secretary of State Board),BoardID=123,Kent Alberty,,Sioux Falls,1/31/2028,"Biography:
https://sdsos.gov/about-the-office/board-of-elections/default.aspx"
Elections Board (Secretary of State Board),BoardID=123,Michael Buckingham,,Rapid City,1/31/2026,"Biography:
https://sdsos.gov/about-the-office/board-of-elections/default.aspx"
Elections Board (Secretary of State Board),BoardID=123,Jamalia Franzen,Dewey County Auditor,Timber Lake,1/31/2029,"Biography:
https://sdsos.gov/about-the-office/board-of-elections/default.aspx"
Elections Board (Secretary of State Board),BoardID=123,Austin Hoffman,,Eureka,1/31/2029,"Biography:
https://sdsos.gov/about-the-office/board-of-elections/default.aspx"
Elections Board (Secretary of State Board),BoardID=123,Lindley Howard,McPherson County Auditor,Leola,1/31/2027,"Biography:
https://sdsos.gov/about-the-office/board-of-elections/default.aspx"
Elections Board (Secretary of State Board),BoardID=123,Monae L. Johnson,"Secretary of State, Chair",Pierre,1/5/2027,"Biography:
https://sdsos.gov/about-the-office/board-of-elections/default.aspx"
Elections Board (Secretary of State Board),BoardID=123,Scott McGregor,Senate Democratic Leader,Rapid City,1/31/2027,"Biography:
https://sdsos.gov/about-the-office/board-of-elections/default.aspx"
"Electrical Commission, State of South Dakota",BoardID=35,Vacant,Fire Safety Expertise,,,
"Electrical Commission, State of South Dakota",BoardID=35,Stephen Burgess,Lay Member,Rapid City,4/14/2027,
"Electrical Commission, State of South Dakota",BoardID=35,Dave Eide,Electrical Utility,Watertown,4/14/2027,
"Electrical Commission, State of South Dakota",BoardID=35,Doug Fuerst,Education,Mitchell,4/14/2026,"Biography:
Not Specified"
"Electrical Commission, State of South Dakota",BoardID=35,Robert Jarding,Electrical Contractor,Sioux Falls,4/15/2028,
"Electrical Commission, State of South Dakota",BoardID=35,Carl Odde,Lay Member,Brookings,4/14/2027,
"Electrical Commission, State of South Dakota",BoardID=35,Tor Sorlien,Electrical Contractor,Viborg,4/14/2026,
Ellsworth Development Authority,BoardID=34,Mike Cartney,Member,Watertown,1/15/2029,
Ellsworth Development Authority,BoardID=34,Tom Johnson,Member,Rapid City,1/17/2025,
Ellsworth Development Authority,BoardID=34,Steve Kalkman,Member,Rapid City,1/16/2023,
Ellsworth Development Authority,BoardID=34,Galen Niederwerder,Member,New Underwood,1/16/2023,
Ellsworth Development Authority,BoardID=34,Stanley Porch,Member,Wanblee,1/17/2022,
Ellsworth Development Authority,BoardID=34,Al Rieman,Chairman,Rapid City,1/15/2029,
Ellsworth Development Authority,BoardID=34,Quentin Riggins,Member,Rapid City,1/18/2020,
Emergency Response Commission,BoardID=36,David Ackerman,Elected/App'td Member of Political Subdivision,Leola,,
Emergency Response Commission,BoardID=36,Andrew Canham,Agriculture,Miller,,
Emergency Response Commission,BoardID=36,Jason Humphrey,Dept. of Transportation,Pierre,,
Emergency Response Commission,BoardID=36,Trish Kindt,Dept. of Agriculture and Natural Resources Designee,Pierre,,
Emergency Response Commission,BoardID=36,Sean Kruger,Fire Department,Pierre,,
Emergency Response Commission,BoardID=36,Whitney Lutkemeir,Health Professional,Sioux Falls,,
Emergency Response Commission,BoardID=36,Paul Merriman,Department of Public Safety Designee,Pierre,,
Emergency Response Commission,BoardID=36,Tina Titze,Office of Emergency Management,Fort Pierre,,
Emergency Response Commission,BoardID=36,Janae Tostenson,Chemical Industry,Big Stone City,,
Emergency Response Commission,BoardID=36,Dustin Willett,Vice Chair - Local Emergency Planning Committee,Rapid City,,
"Extraordinary Cost Oversight, Board of",BoardID=203,Amy Bessette,Alternate,Wall,6/30/2026,
"Extraordinary Cost Oversight, Board of",BoardID=203,Caleb Case,,Belle Fourche,6/30/2026,
"Extraordinary Cost Oversight, Board of",BoardID=203,Kelly Christopherson,Alternate,,6/30/2026,
"Extraordinary Cost Oversight, Board of",BoardID=203,Kristi Curd,,Lake Preston,6/30/2026,
"Extraordinary Cost Oversight, Board of",BoardID=203,Tim Graf,,Harrisburg,6/30/2026,
"Extraordinary Cost Oversight, Board of",BoardID=203,April Hobert,,Hoven,6/30/2029,
"Extraordinary Cost Oversight, Board of",BoardID=203,Trent Osborne,,Ipswich,6/30/2025,
"Extraordinary Cost Oversight, Board of",BoardID=203,Sen. Stephanie Sauder,Legislature Appointment,District 04,3/31/2026,
"Extraordinary Cost Oversight, Board of",BoardID=203,Linda Turner,DOE,,,
"Extraordinary Cost Oversight, Board of",BoardID=203,Jeremy Wollman,Alternate,South Central,6/30/2029,
Family Support Council,BoardID=40,Ruth Conway,Family Member,Rapid City,6/30/2026,
Family Support Council,BoardID=40,Haley Coss,Family Member,Saint Lawrence,6/30/2026,
Family Support Council,BoardID=40,Toni Feist,Self-Advocate,Whitewood,6/30/2026,
Family Support Council,BoardID=40,Julie Flowers,Family Member,Mitchell,6/30/2026,
Family Support Council,BoardID=40,Lindsey Hansen,Family Member,Centerville,6/30/2027,
Family Support Council,BoardID=40,Valerie Husby,Family Member,Brandon,6/30/2027,
Family Support Council,BoardID=40,Krista Johnson,Family Member,Yankton,6/30/2026,
Family Support Council,BoardID=40,Joshua Jones,Family Member,Rapid City,6/30/2026,
Family Support Council,BoardID=40,Carolee Little,Family Member,Castlewood,6/30/2027,
Family Support Council,BoardID=40,Brittany Norin,Self-Advocate,Brandon,6/30/2027,
Family Support Council,BoardID=40,Melissa Rickett,Family Member,Tea,6/30/2026,
Family Support Council,BoardID=40,Tina Two-Crow-Slow Bear,Family Member and Native American,Kyle,6/30/2026,
Family Support Council,BoardID=40,Jennifer Walker,Family Member,Salem,6/30/2027,
Family Support Council,BoardID=40,Peggy Waltner,Family Member,Freeman,6/30/2028,
Family Support Council,BoardID=40,Janet Whiting,Family Member and Native American,Porcupine,6/30/2027,
"Finance, Board of",BoardID=121,Brock Greenfield,Commissioner of School and Public Lands,Pierre,,
"Finance, Board of",BoardID=121,Josh Haeder,State Treasurer,Pierre,,
"Finance, Board of",BoardID=121,Marty Jackley,Attorney General,Pierre,,
"Finance, Board of",BoardID=121,Monae Johnson,Secretary of State (serves as board secretary),Pierre,,
"Finance, Board of",BoardID=121,Kristi Noem,Governor,Pierre,,
"Finance, Board of",BoardID=121,Rich Sattgast,State Auditor,Pierre,,
"Finance, Board of",BoardID=121,Darin Seeley,Commissioner of BHRA,Pierre,,
"Finance, Board of",BoardID=121,James Terwilliger,SD Chief of Finance/Commissioner of Finance and Management,Pierre,,
Fire Marshal's Advisory Board,BoardID=41,Brian Bowker,Insurance underwriter,Eureka,4/21/2028,"Biography:
Not Specified"
Fire Marshal's Advisory Board,BoardID=41,Richard Gustad,Firefighter,Platte,4/12/2026,"Biography:
Not Specified"
Fire Marshal's Advisory Board,BoardID=41,Michael Harstad,Fire equipment industry,Crooks,4/12/2028,"Biography:
Not Specified"
Fire Marshal's Advisory Board,BoardID=41,Calen Maningas,Firefighter,Rapid City,4/12/2026,"Biography:
Not Specified"
Fire Marshal's Advisory Board,BoardID=41,Mike Roemmich,Firefighter,Aberdeen,4/21/2028,"Biography:
Not Specified"
"Fort Sisseton, Governor's Commission on",BoardID=42,Doug Eidahl,Member,Groton,11/24/2025,"Biography:
Doug.Eidahl@vantagepnt.com
605.999.6337
605.995.1750"
"Fort Sisseton, Governor's Commission on",BoardID=42,Gregory Garry,Member,Webster,11/24/2026,"Biography:
gtgarry@itctel.com
605.345.3639"
"Fort Sisseton, Governor's Commission on",BoardID=42,Jim Hagen,Secretary of Tourism,Pierre,,"Biography:
Jim.Hagen@state.sd.us
605.773.3301"
"Fort Sisseton, Governor's Commission on",BoardID=42,JoAnn Hawkinson,Member,Britton,11/24/2025,"Biography:
joannjhawkinson@gmail.com
701.680.2287
"
"Fort Sisseton, Governor's Commission on",BoardID=42,Bill Hoskins,Member,Garretson,11/24/2027,"Biography:
bhoskins@minnehahacounty.org
605.594.3849(Home)
605.978.7001 (Work)"
"Fort Sisseton, Governor's Commission on",BoardID=42,Calvin Hove,Member,Sisseton,11/24/2027,"Biography:
(605-881-2479
(605) 698-4230
cvhove@venturecomm.net
"
"Fort Sisseton, Governor's Commission on",BoardID=42,Kirk Jones,Vice Chairman,Britton,11/24/2025,"Biography:
kirkajones64@gmail.com
605.448.5549"
"Fort Sisseton, Governor's Commission on",BoardID=42,Jim Patrick,Member,Watertown,11/24/2028,"Biography:
jspatrick@datatruck.com
605.881.1870"
"Fort Sisseton, Governor's Commission on",BoardID=42,Bruce Prins,Chairman,Sisseton,11/24/2026,"Biography:
brucesranch@gmail.com
701.866.8485
605.698.3857"
"Fort Sisseton, Governor's Commission on",BoardID=42,Linda Quade,Member,Wilmot,11/24/2024,"Biography:
605.949.1459 
605.938.4814
Linda.quade@sdstate.edu 
"
"Fort Sisseton, Governor's Commission on",BoardID=42,Rosie Smith,Member,Watertown,11/24/2027,"Biography:
(605) 881-1717
rosie@sdglaciallakes.com
"
"Fort Sisseton, Governor's Commission on",BoardID=42,Chuck Vrchota,Member,Veblem,11/24/2028,"Biography:
612.867.1008
605.738.2377
Chuckv4458@gmail.com 

"
"Fort Sisseton, Governor's Commission on",BoardID=42,Casey Weismantel,Member,"Aberdeen, SD",11/24/2026,"Biography:
caseyw@visitaberdeensd.com
605.216.7058"
"Funeral Service, State Board of",BoardID=43,Michael Carlsen,Funeral Director,Aberdeen,10/30/2026,
"Funeral Service, State Board of",BoardID=43,Sharel Delzer,Public Member,Eureka,10/30/2028,
"Funeral Service, State Board of",BoardID=43,Shawna Flax,Designee of Secretary of Health,Pierre,,"Biography:
Not Specified"
"Funeral Service, State Board of",BoardID=43,"James Jones, President",Funeral Director,Parker,10/30/2026,
"Funeral Service, State Board of",BoardID=43,"Chad Osthus, Vice President",Funeral Director,Watertown,10/30/2026,
"Funeral Service, State Board of",BoardID=43,Daniel Rush,Funeral Director,Philip,10/30/2028,
"Game, Fish and Parks Commission",BoardID=45,Julie Bartling,Commissioner,Gregory,1/10/2029,"Biography:
Contact Information:
28291 US Hwy 18
Gregory, SD 57533
PH: 605-222-3378
Juliea.bartling@state.sd.us"
"Game, Fish and Parks Commission",BoardID=45,Travis Bies,Vice-Chair,Fairburn,1/10/2027,"Biography:
Contact Information:
25813 S. FORK ROAD
FAIRBURN, SD 57738
PH: 605.390.0889
Travis.Bies@state.sd.us 
"
"Game, Fish and Parks Commission",BoardID=45,Bruce Cull,Commissioner,Yankton,1/10/2028,
"Game, Fish and Parks Commission",BoardID=45,Jon Locken,Commissioner,Bath,1/10/2026,"Biography:
Contact information:
13755 396th Avenue
Bath, SD 57427
Ph: 605.380.8322
Jon.Locken@state.sd.us"
"Game, Fish and Parks Commission",BoardID=45,Stephanie Rissler,Chair,Vermillion,1/10/2026,"Biography:
Contact information:
501 Bulow Street
Vermillion, SD 57069
605-677-9372
Stephanie.rissler@state.sd.us"
"Game, Fish and Parks Commission",BoardID=45,Travis Theel,Commissioner,Rapid City,1/10/2028,
"Game, Fish and Parks Commission",BoardID=45,Jim White,Commissioner,Huron,1/10/2029,
"Game, Fish and Parks Commission",BoardID=45,Robert Whitmyre,Commissioner,Webster,1/10/2027,"Biography:
Contact Information:
14408 431ST AVENUE
WEBSTER, SD 57274
PH: 605.265.0168
Robert.Whitmyre@state.sd.us 
"
"Gaming, South Dakota Commission on",BoardID=46,Daryl Christensen,Commissioner,Hartford,4/15/2028,
"Gaming, South Dakota Commission on",BoardID=46,Harry Christianson,Chair,Rapid City,4/14/2028,
"Gaming, South Dakota Commission on",BoardID=46,Robert Goetz,Commissioner,Huron,4/14/2027,
"Gaming, South Dakota Commission on",BoardID=46,Spencer Hawley,Vice Chair,Brookings,4/14/2027,
"Gaming, South Dakota Commission on",BoardID=46,Mark Millage,Commissioner,Sioux Falls,4/14/2026,
"Geographic Names, South Dakota Board on",BoardID=44,June Hansen,Chair-Representative-Dept. of Transportation,Pierre,,
"Geographic Names, South Dakota Board on",BoardID=44,Cole Irwin,Representative-Dept. of Tourism,Pierre,,
"Geographic Names, South Dakota Board on",BoardID=44,Benjamin Jones,Representative-State Historical Society,Pierre,,
"Geographic Names, South Dakota Board on",BoardID=44,Sean Kruger,Representative-Dept. of Agriculture & Natural Resources,Pierre,,"Biography:
Not Specified"
"Geographic Names, South Dakota Board on",BoardID=44,Algin Young,Vice Chair - Cabinet Secretary-Dept. of Tribal Relations,Pierre,,
Government Accountability Board,BoardID=216,Judge John Bastian,,,6/30/2030,
Government Accountability Board,BoardID=216,Judge David Gienapp,,,4/2/2030,
Government Accountability Board,BoardID=216,Chief Justice David Gilbertson,,,6/30/2026,
Government Accountability Board,BoardID=216,Judge Larry Long,,,6/30/2027,
Hagen-Harvey Memorial Scholarship Board,BoardID=47,Lorenzo Bettelyoun,Oglala Sioux Tribe,Rapid City,6/30/2029,"Biography:
Oglala Sioux Tribe"
Hagen-Harvey Memorial Scholarship Board,BoardID=47,Amy Boutchee,Lower Brule,"Pierre, SD",6/30/2027,"Biography:
Lower Brule Sioux Tribe"
Hagen-Harvey Memorial Scholarship Board,BoardID=47,Brian Brown,,Parmelee,6/30/2028,
Hagen-Harvey Memorial Scholarship Board,BoardID=47,Valentina Merdanian,Oglala Sioux Tribe,Oglala,6/30/2026,"Biography:
Oglala Sioux Tribe"
Hagen-Harvey Memorial Scholarship Board,BoardID=47,Brian Wagner,Lower Brule,Redfield,6/30/2028,"Biography:
Lower Brule"
HAVA Grant Board,BoardID=143,Travis Arneson,Disability Community Representative,Sioux Falls,6/15/2027,
HAVA Grant Board,BoardID=143,Annie Capp,Butte County Auditor,Belle Fourche,5/23/2027,
HAVA Grant Board,BoardID=143,Kathy Folk,Grant County Auditor,Milbank,12/1/2028,
HAVA Grant Board,BoardID=143,Debra Morrison,Buffalo County Auditor,Gann Valley,5/18/2027,
HAVA Grant Board,BoardID=143,Stacy Pinney,Haakon County Auditor,Philip,5/14/2029,
HAVA Grant Board,BoardID=143,Nicole Schneider,South Dakota Department of Tribal Relations Representative,Pierre,2/24/2029,
HAVA Grant Board,BoardID=143,Bailey Tibbs,State Election Coordinator,Pierre,,
Health and Educational Facilities Authority,BoardID=48,Connie Halverson,At Large,Pierre,6/30/2027,"Biography:
Member"
Health and Educational Facilities Authority,BoardID=48,Bert Olson,At Large,Sioux Falls,6/30/2028,"Biography:
Member"
Health and Educational Facilities Authority,BoardID=48,Daryl Reinicke,Health Care Construction,"Rapid City, SD",6/30/2029,"Biography:
Member"
Health and Educational Facilities Authority,BoardID=48,Donald Scott,Public College,Sioux Falls,6/30/2030,"Biography:
Vice Chairman"
Health and Educational Facilities Authority,BoardID=48,"James Scull, Jr",Educational Construction and Architecture,Rapid City,6/30/2025,"Biography:
Chairman"
Health and Educational Facilities Authority,BoardID=48,David Timpe,Finance,Hartford,6/30/2028,"Biography:
Treasurer"
Health and Educational Facilities Authority,BoardID=48,Pat Wiederhold,At Large,Hill City,6/30/2028,"Biography:
Member"
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",BoardID=49,Kari Fieber,Dispenser,Goodwin,10/30/2027,
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",BoardID=49,"Clint Hinker, Vice President",Dispenser,Mitchell,10/30/2026,
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",BoardID=49,Aggie Kennedy,Audiologist,Beresford,10/30/2027,
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",BoardID=49,Julie Paluch,Public Member,Pierre,10/30/2027,
"Hearing Aid Dispensers and Audiologists, South Dakota Board of",BoardID=49,"Norman Sorensen, President",Audiologist,Rapid City,10/30/2026,
"Historical Society Board of Trustees, State of South Dakota",BoardID=50,Michele Christian,Archivist,Brookings,4/15/2028,
"Historical Society Board of Trustees, State of South Dakota",BoardID=50,John Fowler,At-Large (Appointed),Elk Point,4/15/2028,
"Historical Society Board of Trustees, State of South Dakota",BoardID=50,David Grettler,Historian (Appointed),Aberdeen,4/15/2027,
"Historical Society Board of Trustees, State of South Dakota",BoardID=50,Tom Hurlbert,Architect (Appointed),Sioux Falls,4/15/2028,
"Historical Society Board of Trustees, State of South Dakota",BoardID=50,Robert Kolbe,At-Large,Sioux Falls,4/15/2026,
